speech_id,topics
1130000001,None
1130000002,"federalism, justice"
1130000003,None
1130000004,foreign
1130000005,justice
1130000006,"elections, federalism, justice, minorities"
1130000007,"federalism, justice"
1130000008,"federalism, justice"
1130000009,"budget, federalism, justice, labor"
1130000010,"foreign, health, immigration"
1130000011,None
1130000012,"foreign, health, immigration, justice, minorities"
1130000013,None
1130000014,None
1130000015,None
1130000016,None
1130000017,None
1130000018,None
1130000019,None
1130000020,elections
1130000021,None
1130000022,None
1130000023,justice
1130000024,None
1130000025,None
1130000026,"foreign, health, immigration"
1130000027,None
1130000028,None
1130000029,None
1130000030,None
1130000031,None
1130000032,None
1130000033,None
1130000034,None
1130000035,justice
1130000036,None
1130000037,justice
1130000038,None
1130000039,None
1130000040,None
1130000041,None
1130000042,None
1130000043,None
1130000044,None
1130000045,None
1130000046,"budget, economy, labor, minorities"
1130000047,"budget, elections, government, health, justice, minorities"
1130000048,"budget, elections, health, justice, labor, minorities, money"
1130000049,None
1130000050,budget
1130000051,None
1130000052,None
1130000053,"alcohol, elections, health, tax"
1130000054,"business, minorities"
1130000055,None
1130000056,"elections, justice, minorities"
1130000057,None
1130000058,None
1130000059,"elections, federalism, justice, labor, minorities"
1130000060,justice
1130000061,None
1130000062,None
1130000063,None
1130000064,elections
1130000065,None
1130000066,"business, elections"
1130000067,"budget, elections, labor"
1130000068,None
1130000069,"budget, economy, elections, government, health, justice, minorities, tax"
1130000070,None
1130000071,None
1130000072,"education, elections, federalism, health"
1130000073,elections
1130000074,None
1130000075,elections
1130000076,None
1130000077,elections
1130000078,foreign
1130000079,None
1130000080,elections
1130000081,None
1130000082,None
1130000083,"elections, federalism, justice"
1130000084,None
1130000085,None
1130000086,"elections, justice, minorities"
1130000087,None
1130000088,None
1130000089,"elections, government, justice, minorities"
1130000090,None
1130000091,None
1130000092,"federalism, money"
1130000093,None
1130000094,"elections, justice"
1130000095,None
1130000096,elections
1130000097,None
1130000098,None
1130000099,"elections, federalism, labor"
1130000100,"elections, minorities, foreign"
1130000101,"defense, elections, foreign, justice"
1130000102,None
1130000103,None
1130000104,None
1130000105,elections
1130000106,elections
1130000107,None
1130000108,justice
1130000109,None
1130000110,None
1130000111,None
1130000112,None
1130000113,None
1130000114,elections
1130000115,elections
1130000116,None
1130000117,None
1130000118,None
1130000119,None
1130000120,None
1130000121,None
1130000122,None
1130000123,None
1130000124,None
1130000125,None
1130000126,None
1130000127,None
1130000128,None
1130000129,None
1130000130,None
1130000131,None
1130000132,None
1130000133,None
1130000134,None
1130000135,None
1130000136,religion
1130000137,None
1130000138,None
1130000139,None
1130000140,None
1130000141,None
1130000142,None
1130000143,None
1130000144,None
1130000145,None
1130000146,None
1130000147,None
1130000148,"government, trade"
1130000149,"foreign, immigration, justice, labor"
1130000150,justice
1130000151,None
1130000152,None
1130000153,None
1130000154,None
1130000155,"alcohol, religion"
1130000156,None
1130000157,None
1130000158,justice
1130000159,None
1130000160,None
1130000161,justice
1130000162,None
1130000163,None
1130000164,justice
1130000165,None
1130000166,justice
1130000167,None
1130000168,justice
1130000169,None
1130000170,justice
1130000171,None
1130000172,justice
1130000173,None
1130000174,None
1130000175,justice
1130000176,None
1130000177,justice
1130000178,None
1130000179,None
1130000180,"justice, money"
1130000181,justice
1130000182,None
1130000183,None
1130000184,elections
1130000185,None
1130000186,justice
1130000187,None
1130000188,None
1130000189,None
1130000190,None
1130000191,None
1130000192,None
1130000193,elections
1130000194,None
1130000195,None
1130000196,None
1130000197,justice
1130000198,None
1130000199,elections
1130000200,None
1130000201,None
1130000202,justice
1130000203,None
1130000204,elections
1130000205,None
1130000206,None
1130000207,None
1130000208,justice
1130000209,None
1130000210,elections
1130000211,None
1130000212,None
1130000213,justice
1130000214,None
1130000215,elections
1130000216,None
1130000217,None
1130000218,"elections, justice, religion"
1130000219,None
1130000220,None
1130000221,None
1130000222,justice
1130000223,None
1130000224,elections
1130000225,None
1130000226,None
1130000227,"budget, business, elections, federalism, foreign, justice, minorities, tax, mail"
1130000228,None
1130000229,"alcohol, budget, elections, health, justice, tax"
1130000230,None
1130000231,None
1130000232,None
1130000233,justice
1130000234,None
1130000235,None
1130000236,None
1130000237,None
1130000238,None
1130000239,"justice, minorities"
1130000240,None
1130000241,"elections, government, justice, labor, minorities"
1130000242,None
1130000243,justice
1130000244,None
1130000245,"justice, minorities"
1130000246,None
1130000247,None
1130000248,None
1130000249,None
1130000250,justice
1130000251,None
1130000252,"justice, minorities"
1130000253,None
1130000254,None
1130000255,None
1130000256,justice
1130000257,None
1130000258,None
1130000259,None
1130000260,None
1130000261,None
1130000262,"business, federalism, justice"
1130000263,None
1130000264,justice
1130000265,None
1130000266,None
1130000267,None
1130000268,None
1130000269,None
1130000270,"elections, religion"
1130000271,None
1130000272,None
1130000273,None
1130000274,None
1130000275,"defense, justice, labor, minorities, money"
1130000276,"education, federalism"
1130000277,"federalism, health, justice, minorities, money, religion"
1130000278,"education, federalism"
1130000279,"budget, defense, elections, federalism, justice, minorities, money, tax"
1130000280,"government, health, justice, labor, minorities, money"
1130000281,"federalism, health"
1130000282,budget
1130000283,"government, health, trade"
1130000284,minorities
1130000285,"budget, defense, elections, federalism, money"
1130000286,None
1130000287,"federalism, trade, defense"
1130000288,"business, government, immigration, trade, defense"
1130000289,"budget, elections, foreign, labor, tax"
1130000290,"education, federalism"
1130000291,"defense, federalism, justice, minorities"
1130000292,"elections, minorities"
1130000293,None
1130000294,elections
1130000295,None
1130000296,elections
1130000297,None
1130000298,None
1130000299,None
1130000300,None
1130000301,None
1130000302,None
1130000303,federalism
1130000304,money
1130000305,foreign
1130000306,foreign
1130000307,None
1130000308,"budget, justice, labor, minorities"
1130000309,None
1130000310,None
1130000311,None
1130000312,None
1130000313,"elections, justice, minorities"
1130000314,None
1130000315,"elections, minorities"
1130000316,None
1130000317,None
1130000318,None
1130000319,None
1130000320,None
1130000321,justice
1130000322,None
1130000323,"justice, minorities"
1130000324,defense
1130000325,"elections, foreign, labor"
1130000326,None
1130000327,None
1130000328,"elections, foreign, labor"
1130000329,None
1130000330,None
1130000331,defense
1130000332,"elections, labor"
1130000333,federalism
1130000334,"defense, federalism, labor"
1130000335,None
1130000336,"elections, foreign, tax"
1130000337,None
1130000338,"business, labor"
1130000339,None
1130000340,None
1130000341,None
1130000342,"federalism, foreign, immigration"
1130000343,"federalism, foreign"
1130000344,"foreign, justice, minorities"
1130000345,"elections, federalism"
1130000346,None
1130000347,None
1130000348,None
1130000349,elections
1130000350,federalism
1130000351,"elections, minorities"
1130000352,None
1130000353,None
1130000354,federalism
1130000355,"justice, minorities"
1130000356,None
1130000357,None
1130000358,minorities
1130000359,None
1130000360,"environment, federalism"
1130000361,None
1130000362,"elections, foreign"
1130000363,None
1130000364,None
1130000365,federalism
1130000366,None
1130000367,None
1130000368,None
1130000369,None
1130000370,None
1130000371,None
1130000372,None
1130000373,"elections, federalism, justice, labor, minorities, money, government"
1130000374,None
1130000375,None
1130000376,None
1130000377,None
1130000378,None
1130000379,"justice, minorities"
1130000380,"defense, federalism"
1130000381,"justice, minorities"
1130000382,None
1130000383,money
