speakerid|speech_id|lastname|firstname|chamber|state|gender|party|district|nonvoting
113118560|1130000006|BECERRA|XAVIER|H|CA|M|D|34|voting
113118060|1130000009|BOEHNER|JOHN|H|OH|M|R|8|voting
113117580|1130000010|DINGELL|JOHN|H|MI|M|D|12|voting
113117580|1130000011|DINGELL|JOHN|H|MI|M|D|12|voting
113118560|1130000015|BECERRA|XAVIER|H|CA|M|D|34|voting
113118560|1130000017|BECERRA|XAVIER|H|CA|M|D|34|voting
113118560|1130000020|BECERRA|XAVIER|H|CA|M|D|34|voting
113118560|1130000022|BECERRA|XAVIER|H|CA|M|D|34|voting
113117370|1130000028|CANTOR|ERIC|H|VA|M|R|7|voting
113117370|1130000029|CANTOR|ERIC|H|VA|M|R|7|voting
113117580|1130000030|DINGELL|JOHN|H|MI|M|D|12|voting
113117370|1130000031|CANTOR|ERIC|H|VA|M|R|7|voting
113117370|1130000032|CANTOR|ERIC|H|VA|M|R|7|voting
113120680|1130000034|NORTON|ELEANOR|H|DC|F|D|0|nonvoting
113117370|1130000036|CANTOR|ERIC|H|VA|M|R|7|voting
113120680|1130000039|NORTON|ELEANOR|H|DC|F|D|0|nonvoting
113122520|1130000040|PERRY|SCOTT|H|PA|M|R|4|voting
113120580|1130000041|MULVANEY|MICK|H|SC|M|R|5|voting
113117370|1130000043|CANTOR|ERIC|H|VA|M|R|7|voting
113117370|1130000046|CANTOR|ERIC|H|VA|M|R|7|voting
113121410|1130000047|SLAUGHTER|LOUISE|H|NY|F|D|25|voting
113121410|1130000049|SLAUGHTER|LOUISE|H|NY|F|D|25|voting
113119830|1130000050|HOYER|STENY|H|MD|M|D|5|voting
113121410|1130000052|SLAUGHTER|LOUISE|H|NY|F|D|25|voting
113119830|1130000053|HOYER|STENY|H|MD|M|D|5|voting
113121410|1130000055|SLAUGHTER|LOUISE|H|NY|F|D|25|voting
113118960|1130000056|CLYBURN|JAMES|H|SC|M|D|6|voting
113121410|1130000058|SLAUGHTER|LOUISE|H|NY|F|D|25|voting
113118960|1130000059|CLYBURN|JAMES|H|SC|M|D|6|voting
113121410|1130000061|SLAUGHTER|LOUISE|H|NY|F|D|25|voting
113121410|1130000063|SLAUGHTER|LOUISE|H|NY|F|D|25|voting
